split,t,SPX_p_bull,SPX_p_bear,SPX_ret_real,SPX_regimen_real,SPX_ok,CMC200_p_bull,CMC200_p_bear,CMC200_ret_real,CMC200_regimen_real,CMC200_ok
train,23,0.555556,0.444444,0.004140,bull,1,0.444444,0.555556,-0.074118,bear,1
train,24,0.555556,0.444444,-0.019252,bear,0,0.444444,0.555556,-0.040728,bear,1
train,25,0.555556,0.444444,0.027052,bull,1,0.444444,0.555556,-0.135941,bear,1
train,26,0.444444,0.555556,0.016597,bull,0,0.333333,0.666667,0.056091,bull,0
train,27,0.444444,0.555556,0.003946,bull,0,0.444444,0.555556,0.025206,bull,0
train,28,0.555556,0.444444,-0.009749,bear,0,0.444444,0.555556,-0.093433,bear,1
train,29,0.555556,0.444444,0.019369,bull,1,0.444444,0.555556,0.039526,bull,0
train,30,0.555556,0.444444,-0.003754,bear,0,0.444444,0.555556,0.184867,bull,0
train,31,0.555556,0.444444,0.009344,bull,1,0.444444,0.555556,0.086346,bull,0
train,32,0.555556,0.444444,0.007071,bull,1,0.555556,0.444444,0.127864,bull,1
train,33,0.555556,0.444444,-0.005910,bear,0,0.555556,0.444444,0.038828,bull,1
train,34,0.555556,0.444444,0.015127,bull,1,0.555556,0.444444,0.001495,bull,1
train,35,0.555556,0.444444,0.005762,bull,1,0.555556,0.444444,0.058612,bull,1
train,36,0.555556,0.444444,-0.017090,bear,0,0.555556,0.444444,-0.139240,bear,0
train,37,0.555556,0.444444,-0.005756,bear,0,0.444444,0.555556,0.048984,bull,0
train,38,0.555556,0.444444,0.005060,bull,1,0.444444,0.555556,-0.108130,bear,1
train,39,0.555556,0.444444,-0.022342,bear,0,0.444444,0.555556,0.104184,bull,0
train,40,0.555556,0.444444,0.007841,bull,1,0.444444,0.555556,0.096757,bull,0
train,41,0.555556,0.444444,0.018060,bull,1,0.444444,0.555556,0.097367,bull,0
train,42,0.555556,0.444444,0.016311,bull,1,0.555556,0.444444,0.000718,bull,1
train,43,0.555556,0.444444,0.013219,bull,1,0.555556,0.444444,0.052307,bull,1
train,44,0.555556,0.444444,0.019812,bull,1,0.555556,0.444444,-0.002278,bear,0
train,45,0.555556,0.444444,-0.003130,bear,0,0.555556,0.444444,0.040868,bull,1
train,46,0.555556,0.444444,0.003221,bull,1,0.555556,0.444444,-0.091488,bear,0
train,47,0.555556,0.444444,-0.022242,bear,0,0.444444,0.555556,-0.055589,bear,1
train,48,0.555556,0.444444,-0.012305,bear,0,0.444444,0.555556,0.001126,bull,0
train,49,0.555556,0.444444,0.037536,bull,1,0.444444,0.555556,-0.099396,bear,1
train,50,0.444444,0.555556,-0.019583,bear,1,0.444444,0.555556,-0.040985,bear,1
train,51,0.444444,0.555556,0.022501,bull,0,0.444444,0.555556,0.080870,bull,0
train,52,0.444444,0.555556,0.008510,bull,0,0.444444,0.555556,-0.099377,bear,1
train,53,0.444444,0.555556,-0.018882,bear,1,0.555556,0.444444,-0.115366,bear,0
train,54,0.444444,0.555556,-0.003036,bear,1,0.444444,0.555556,-0.001401,bear,1
train,55,0.555556,0.444444,-0.058491,bear,0,0.444444,0.555556,-0.192590,bear,1
train,56,0.555556,0.444444,0.007681,bull,1,0.333333,0.666667,0.006014,bull,0
train,57,0.444444,0.555556,0.015378,bull,0,0.444444,0.555556,0.092465,bull,0
train,58,0.555556,0.444444,-0.018363,bear,0,0.444444,0.555556,0.030311,bull,0
train,59,0.555556,0.444444,-0.015916,bear,0,0.444444,0.555556,-0.057175,bear,1
train,60,0.555556,0.444444,0.008194,bull,1,0.444444,0.555556,-0.032443,bear,1
train,61,0.555556,0.444444,-0.012803,bear,0,0.444444,0.555556,-0.003271,bear,1
train,62,0.555556,0.444444,-0.029196,bear,0,0.444444,0.555556,-0.017454,bear,1
train,63,0.555556,0.444444,0.059738,bull,1,0.444444,0.555556,0.086716,bull,0
train,64,0.333333,0.666667,0.017753,bull,0,0.555556,0.444444,0.068549,bull,1
train,65,0.444444,0.555556,0.000616,bull,0,0.555556,0.444444,0.064132,bull,1
train,66,0.555556,0.444444,-0.012747,bear,0,0.555556,0.444444,-0.078168,bear,0
train,67,0.555556,0.444444,-0.021551,bear,0,0.444444,0.555556,-0.068672,bear,1
train,68,0.555556,0.444444,-0.027888,bear,0,0.444444,0.555556,-0.012060,bear,1
train,69,0.555556,0.444444,-0.033286,bear,0,0.444444,0.555556,-0.039254,bear,1
train,70,0.555556,0.444444,-0.002081,bear,0,0.444444,0.555556,-0.061926,bear,1
train,71,0.555556,0.444444,-0.024414,bear,0,0.444444,0.555556,-0.219035,bear,1
train,72,0.555556,0.444444,-0.030924,bear,0,0.333333,0.666667,-0.033462,bear,1
train,73,0.555556,0.444444,0.063767,bull,1,0.333333,0.666667,-0.038477,bear,1
train,74,0.222222,0.777778,-0.012024,bear,1,0.555556,0.444444,0.024910,bull,1
train,75,0.444444,0.555556,-0.051871,bear,1,0.555556,0.444444,-0.021534,bear,0
train,76,0.555556,0.444444,-0.059687,bear,0,0.444444,0.555556,-0.360165,bear,1
train,77,0.444444,0.555556,0.062473,bull,0,0.333333,0.666667,0.053599,bull,0
train,78,0.222222,0.777778,-0.022338,bear,1,0.444444,0.555556,-0.093588,bear,1
train,79,0.444444,0.555556,0.019173,bull,0,0.444444,0.555556,0.114975,bull,0
train,80,0.444444,0.555556,-0.009332,bear,1,0.444444,0.555556,-0.029175,bear,1
train,81,0.555556,0.444444,0.025170,bull,1,0.444444,0.555556,0.106001,bull,0
train,82,0.555556,0.444444,0.041692,bull,1,0.555556,0.444444,0.078128,bull,1
train,83,0.444444,0.555556,0.003601,bull,0,0.555556,0.444444,-0.033272,bear,0
train,84,0.555556,0.444444,0.032039,bull,1,0.555556,0.444444,0.074417,bull,1
train,85,0.555556,0.444444,-0.012145,bear,0,0.555556,0.444444,-0.128991,bear,0
train,86,0.555556,0.444444,-0.041236,bear,0,0.555556,0.444444,-0.040322,bear,0
train,87,0.555556,0.444444,-0.033429,bear,0,0.444444,0.555556,-0.024968,bear,1
train,88,0.555556,0.444444,0.035816,bull,1,0.444444,0.555556,0.076192,bull,0
train,89,0.444444,0.555556,-0.048880,bear,1,0.444444,0.555556,-0.105242,bear,1
train,90,0.555556,0.444444,-0.047613,bear,0,0.444444,0.555556,-0.055524,bear,1
train,91,0.555556,0.444444,-0.029570,bear,0,0.333333,0.666667,0.020221,bull,0
train,92,0.555556,0.444444,0.014959,bull,1,0.444444,0.555556,0.004506,bull,0
train,93,0.555556,0.444444,-0.015670,bear,0,0.444444,0.555556,-0.026886,bear,1
train,94,0.555556,0.444444,0.046269,bull,1,0.444444,0.555556,0.003627,bull,0
train,95,0.444444,0.555556,0.038759,bull,0,0.555556,0.444444,0.109927,bull,1
train,96,0.333333,0.666667,-0.034027,bear,1,0.555556,0.444444,0.037602,bull,1
train,97,0.555556,0.444444,0.057304,bull,1,0.555556,0.444444,-0.241343,bear,0
train,98,0.444444,0.555556,-0.006934,bear,1,0.333333,0.666667,-0.020165,bear,1
train,99,0.444444,0.555556,0.015212,bull,0,0.444444,0.555556,-0.001337,bear,1
train,100,0.444444,0.555556,0.011257,bull,0,0.444444,0.555556,0.041615,bull,0
train,101,0.444444,0.555556,-0.034307,bear,1,0.444444,0.555556,-0.003747,bear,1
train,102,0.555556,0.444444,-0.021067,bear,0,0.444444,0.555556,-0.053984,bear,1
train,103,0.555556,0.444444,-0.001959,bear,0,0.444444,0.555556,0.018775,bull,0
train,104,0.555556,0.444444,-0.001385,bear,0,0.444444,0.555556,-0.016683,bear,1
train,105,0.555556,0.444444,0.014372,bull,1,0.444444,0.555556,0.032926,bull,0
train,106,0.555556,0.444444,0.026353,bull,1,0.444444,0.555556,0.147650,bull,0
train,107,0.555556,0.444444,-0.006644,bear,0,0.555556,0.444444,0.117123,bull,1
train,108,0.555556,0.444444,0.024357,bull,1,0.555556,0.444444,0.015678,bull,1
train,109,0.555556,0.444444,0.016065,bull,1,0.555556,0.444444,0.023093,bull,1
train,110,0.555556,0.444444,-0.011188,bear,0,0.555556,0.444444,-0.084787,bear,0
train,111,0.555556,0.444444,-0.002783,bear,0,0.444444,0.555556,0.129142,bull,0
train,112,0.555556,0.444444,-0.027098,bear,0,0.444444,0.555556,-0.062253,bear,1
train,113,0.555556,0.444444,0.018864,bull,1,0.444444,0.555556,-0.035995,bear,1
train,114,0.555556,0.444444,-0.046561,bear,0,0.444444,0.555556,-0.098652,bear,1
train,115,0.555556,0.444444,0.014155,bull,1,0.333333,0.666667,0.250483,bull,0
train,116,0.555556,0.444444,0.013781,bull,1,0.444444,0.555556,0.001846,bull,0
train,117,0.555556,0.444444,0.034240,bull,1,0.555556,0.444444,0.049755,bull,1
train,118,0.555556,0.444444,-0.001045,bear,0,0.555556,0.444444,-0.003025,bear,0
train,119,0.555556,0.444444,0.007915,bull,1,0.555556,0.444444,0.093923,bull,1
train,120,0.555556,0.444444,-0.000996,bear,0,0.444444,0.555556,-0.119141,bear,1
valid,121,0.555556,0.444444,0.008662,bull,1,0.444444,0.555556,0.057862,bull,0
valid,122,0.555556,0.444444,-0.008002,bear,0,0.444444,0.555556,0.017601,bull,0
valid,123,0.555556,0.444444,-0.002947,bear,0,0.444444,0.555556,-0.109416,bear,1
valid,124,0.555556,0.444444,0.016330,bull,1,0.444444,0.555556,0.016278,bull,0
valid,125,0.555556,0.444444,0.003208,bull,1,0.444444,0.555556,0.001587,bull,0
valid,126,0.555556,0.444444,0.018125,bull,1,0.444444,0.555556,0.025254,bull,0
valid,127,0.555556,0.444444,0.003843,bull,1,0.555556,0.444444,-0.036954,bear,0
valid,128,0.555556,0.444444,0.025432,bull,1,0.555556,0.444444,-0.025393,bear,0
valid,129,0.555556,0.444444,-0.013990,bear,0,0.555556,0.444444,0.141383,bull,1
valid,130,0.555556,0.444444,0.023198,bull,1,0.444444,0.555556,-0.003229,bear,1
valid,131,0.555556,0.444444,-0.011624,bear,0,0.555556,0.444444,-0.011490,bear,0
valid,132,0.555556,0.444444,0.023915,bull,1,0.444444,0.555556,0.005599,bull,0
valid,133,0.555556,0.444444,0.006839,bull,1,0.555556,0.444444,-0.008640,bear,0
valid,134,0.555556,0.444444,0.010065,bull,1,0.555556,0.444444,-0.015043,bear,0
valid,135,0.555556,0.444444,-0.023003,bear,0,0.555556,0.444444,-0.016878,bear,0
valid,136,0.555556,0.444444,-0.003127,bear,0,0.444444,0.555556,0.010539,bull,0
valid,137,0.555556,0.444444,-0.021360,bear,0,0.444444,0.555556,-0.117255,bear,1
valid,138,0.555556,0.444444,0.008205,bull,1,0.444444,0.555556,-0.003152,bear,1
valid,139,0.555556,0.444444,0.024674,bull,1,0.444444,0.555556,-0.010294,bear,1
valid,140,0.444444,0.555556,-0.012990,bear,1,0.555556,0.444444,0.005724,bull,1
valid,141,0.555556,0.444444,-0.001610,bear,0,0.444444,0.555556,0.012661,bull,0
test,142,0.555556,0.444444,-0.029707,bear,0,0.444444,0.555556,-0.001114,bear,1
test,143,0.555556,0.444444,-0.007437,bear,0,0.444444,0.555556,0.022458,bull,0
test,144,0.555556,0.444444,0.004758,bull,1,0.444444,0.555556,0.024508,bull,0
test,145,0.555556,0.444444,0.004465,bull,1,0.444444,0.555556,-0.047630,bear,1
test,146,0.555556,0.444444,-0.024234,bear,0,0.444444,0.555556,0.080622,bull,0
test,147,0.555556,0.444444,-0.025606,bear,0,0.444444,0.555556,0.121576,bull,0
test,148,0.555556,0.444444,0.056877,bull,1,0.444444,0.555556,0.027952,bull,0
test,149,0.333333,0.666667,0.012971,bull,0,0.555556,0.444444,0.079120,bull,1
test,150,0.444444,0.555556,0.022126,bull,0,0.555556,0.444444,-0.026192,bear,0
test,151,0.444444,0.555556,0.009990,bull,0,0.555556,0.444444,0.045846,bull,1
test,152,0.555556,0.444444,0.007710,bull,1,0.555556,0.444444,0.015220,bull,1
test,153,0.555556,0.444444,0.002118,bull,1,0.555556,0.444444,0.135246,bull,1
test,154,0.555556,0.444444,0.024631,bull,1,0.444444,0.555556,-0.049341,bear,1
test,155,0.555556,0.444444,0.007482,bull,1,0.555556,0.444444,0.034994,bull,1
test,156,0.555556,0.444444,0.003192,bull,1,0.555556,0.444444,-0.031069,bear,0
test,157,0.555556,0.444444,-0.015336,bear,0,0.444444,0.555556,0.020683,bull,0
test,158,0.555556,0.444444,0.018266,bull,1,0.444444,0.555556,0.022336,bull,0
test,159,0.555556,0.444444,0.011634,bull,1,0.444444,0.555556,-0.035720,bear,1
test,160,0.555556,0.444444,0.010515,bull,1,0.555556,0.444444,-0.016071,bear,0
test,161,0.555556,0.444444,0.013735,bull,1,0.555556,0.444444,0.021950,bull,1
test,162,0.555556,0.444444,0.013620,bull,1,0.555556,0.444444,0.091600,bull,1
test,163,0.555556,0.444444,0.013620,bull,1,0.555556,0.444444,0.091600,bull,1
